,ASX code,Company name,GICs industry group,Listing date,Market Cap
296,BFC.AX,BESTON GLOBAL FOOD COMPANY LIMITED,"Food, Beverage & Tobacco",28/08/2015,17973422
297,BFG.AX,BELL FINANCIAL GROUP LIMITED,Financial Services,12/12/2007,291876993
298,BFL.AX,BSP FINANCIAL GROUP LIMITED,Banks,25/05/2021,2303394496
299,BGA.AX,BEGA CHEESE LIMITED,"Food, Beverage & Tobacco",19/08/2011,1077037849
300,BGD.AX,BARTON GOLD HOLDINGS LIMITED,Materials,28/06/2021,47517460
301,BGE.AX,BRIDGE SAAS LIMITED,Software & Services,06/10/2022,2434637
302,BGL.AX,BELLEVUE GOLD LIMITED,Materials,20/12/2005,1418375309
303,BGP.AX,BRISCOE GROUP AUSTRALASIA LIMITED,Consumer Discretionary Distribution & Retail,20/07/2017,957892845
304,BGT.AX,BIO-GENE TECHNOLOGY LTD,Materials,29/11/2017,14339699
305,BHD.AX,BENJAMIN HORNIGOLD LIMITED,Not Applic,12/05/2017,5434929
306,BHP.AX,BHP GROUP LIMITED,Materials,13/08/1885,228569823487
307,BIM.AX,BINDI METALS LIMITED,Materials,28/06/2022,5486250
308,BIO.AX,BIOME AUSTRALIA LIMITED,Household & Personal Products,30/11/2021,15539566
309,BIR.AX,BIR FINANCIAL LIMITED,Financial Services,31/07/2006,20061012
310,BIS.AX,BISALLOY STEEL GROUP LIMITED,Materials,23/06/2003,86833602
311,BIT.AX,BIOTRON LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",24/01/2001,23450567
312,BKG.AX,BOOKTOPIA GROUP LIMITED,Consumer Discretionary Distribution & Retail,03/12/2020,26098267
313,BKI.AX,BKI INVESTMENT COMPANY LIMITED,Not Applic,12/12/2003,1357908392
314,BKL.AX,BLACKMORES LIMITED,Household & Personal Products,02/05/1985,1831471792
315,BKT.AX,BLACK ROCK MINING LIMITED,Materials,10/12/2003,123613134
316,BKW.AX,BRICKWORKS LIMITED,Materials,30/06/1962,4188251559
317,BKY.AX,BERKELEY ENERGIA LIMITED,Energy,16/09/2003,236272259
318,BLD.AX,BORAL LIMITED.,Materials,21/02/2000,4456477213
319,BLG.AX,BLUGLASS LIMITED,Semiconductors & Semiconductor Equipment,22/09/2006,58065735
320,BLU.AX,BLUE ENERGY LIMITED.,Energy,13/10/1994,44423366
321,BLX.AX,BEACON LIGHTING GROUP LIMITED,Consumer Discretionary Distribution & Retail,15/04/2014,339140396
